Date,Open,High,Low,Close,Volume,Adj Close
26/09/2016,111.639999,113.389999,111.550003,112.879997,29869400,112.303406
23/09/2016,114.419998,114.790001,111.550003,112.709999,52481200,112.134277
22/09/2016,114.349998,114.940002,114,114.620003,31074000,114.034524
21/09/2016,113.849998,113.989998,112.440002,113.550003,36003200,112.96999
20/09/2016,113.050003,114.120003,112.510002,113.57,34514300,112.989884
19/09/2016,115.190002,116.18,113.25,113.580002,47023000,112.999835
16/09/2016,115.120003,116.129997,114.040001,114.919998,79886900,114.332987
15/09/2016,113.860001,115.730003,113.489998,115.57,89983600,114.979668
14/09/2016,108.730003,113.029999,108.599998,111.769997,110888700,111.199076
13/09/2016,107.510002,108.790001,107.239998,107.949997,62176200,107.398588
12/09/2016,102.650002,105.720001,102.529999,105.440002,45292800,104.901415
09/09/2016,104.639999,105.720001,103.129997,103.129997,46557000,102.603209
08/09/2016,107.25,107.269997,105.239998,105.519997,53002000,104.981001
07/09/2016,107.830002,108.760002,107.07,108.360001,42364300,107.806498
06/09/2016,107.900002,108.300003,107.510002,107.699997,26880400,107.149865
02/09/2016,107.699997,108,106.82,107.730003,26802500,107.179719
01/09/2016,106.139999,106.800003,105.620003,106.730003,26701500,106.184827
31/08/2016,105.660004,106.57,105.639999,106.099998,29662400,105.55804
30/08/2016,105.800003,106.5,105.5,106,24863900,105.458552
29/08/2016,106.620003,107.440002,106.290001,106.82,24970300,106.274363
26/08/2016,107.410004,107.949997,106.309998,106.940002,27766300,106.393753
25/08/2016,107.389999,107.879997,106.68,107.57,25086200,107.020532
24/08/2016,108.57,108.75,107.68,108.029999,23675100,107.478182
23/08/2016,108.589996,109.32,108.529999,108.849998,21257700,108.293993
22/08/2016,108.860001,109.099998,107.849998,108.510002,25820200,107.955733
19/08/2016,108.769997,109.690002,108.360001,109.360001,25368100,108.80139
18/08/2016,109.230003,109.599998,109.019997,109.080002,21984700,108.522821
17/08/2016,109.099998,109.370003,108.339996,109.220001,25356000,108.662106
16/08/2016,109.629997,110.230003,109.209999,109.379997,33794400,108.821284
15/08/2016,108.139999,109.540001,108.080002,109.480003,25868200,108.92078
12/08/2016,107.779999,108.440002,107.779999,108.18,18660400,107.627417
11/08/2016,108.519997,108.93,107.849998,107.93,27484500,107.378694
10/08/2016,108.709999,108.900002,107.760002,108,24008500,107.448336
09/08/2016,108.230003,108.940002,108.010002,108.809998,26315200,108.254196
08/08/2016,107.519997,108.370003,107.160004,108.370003,28037200,107.816449
05/08/2016,106.269997,107.650002,106.18,107.480003,40553400,106.930996
04/08/2016,105.580002,106,105.279999,105.870003,27408700,105.329219
03/08/2016,104.809998,105.839996,104.769997,105.790001,30202600,104.68254
02/08/2016,106.050003,106.07,104,104.480003,33816600,103.386256
01/08/2016,104.410004,106.150002,104.410004,106.050003,38167900,104.93982
29/07/2016,104.190002,104.550003,103.68,104.209999,27733700,103.119078
28/07/2016,102.830002,104.449997,102.82,104.339996,39869800,103.247715
27/07/2016,104.269997,104.349998,102.75,102.949997,92344800,101.872267
26/07/2016,96.82,97.970001,96.419998,96.669998,56239800,95.65801
25/07/2016,98.25,98.839996,96.919998,97.339996,40382900,96.320994
22/07/2016,99.260002,99.300003,98.309998,98.660004,28313700,97.627183
21/07/2016,99.830002,101,99.129997,99.43,32702000,98.389119
20/07/2016,100,100.459999,99.739998,99.959999,26276000,98.91357
19/07/2016,99.559998,100,99.339996,99.870003,23779900,98.824515
18/07/2016,98.699997,100.129997,98.599998,99.830002,36493900,98.784933
15/07/2016,98.919998,99.300003,98.5,98.779999,30137000,97.745922
14/07/2016,97.389999,98.989998,97.32,98.790001,38919000,97.755819
13/07/2016,97.410004,97.669998,96.839996,96.870003,25892200,95.855921
12/07/2016,97.169998,97.699997,97.120003,97.419998,24167500,96.400159
11/07/2016,96.75,97.650002,96.730003,96.980003,23794900,95.96477
08/07/2016,96.489998,96.889999,96.050003,96.68,28912100,95.667907
07/07/2016,95.699997,96.5,95.620003,95.940002,25139600,94.935656
06/07/2016,94.599998,95.660004,94.370003,95.529999,30949100,94.529945
05/07/2016,95.389999,95.400002,94.459999,94.989998,27705200,93.995597
01/07/2016,95.489998,96.470001,95.330002,95.889999,26026500,94.886177
30/06/2016,94.440002,95.769997,94.300003,95.599998,35836400,94.599212
29/06/2016,93.970001,94.550003,93.629997,94.400002,36531000,93.411777
28/06/2016,92.900002,93.660004,92.139999,93.589996,40444900,92.610251
27/06/2016,93,93.050003,91.5,92.040001,45489600,91.076482
24/06/2016,92.910004,94.660004,92.650002,93.400002,75311400,92.422245
23/06/2016,95.940002,96.290001,95.25,96.099998,32240200,95.093977
22/06/2016,96.25,96.889999,95.349998,95.550003,29219100,94.549739
21/06/2016,94.940002,96.349998,94.68,95.910004,35546400,94.905971
20/06/2016,96,96.57,95.029999,95.099998,34411900,94.104446
